"director","total_gross_million"
"Wayne Thornley",NULL
"Jesse Baget",NULL
"Savage Steve Holland",NULL
"Kyle Henry",NULL
"George Sherman",NULL
"Paolo Sorrentino",NULL
"Michael Barrett",NULL
"Lindsey Morgan",NULL
"Olivier Loustau",NULL
"Antonio Campos",NULL
"Michael Uppendahl",NULL
"Sílvia Quer",NULL
"Skye Borgman",NULL
"Tobias Lindholm",NULL
"Gaspar Antillo",NULL
"Amara Cash",NULL
"Craig Johnson",NULL
"Matt Smiley",NULL
"Prakash Satam",NULL
"Peter Flinth",NULL
"Juan Antin",NULL
"Zhuangzhuang Tian",NULL
"Gina Prince-Bythewood",NULL
"Chase Conley",NULL
"Qaushiq Mukherjee",NULL
"Liza Johnson",NULL
"John Pogue",NULL
"Tessa Hoffe",NULL
"Nabil Ayouch",NULL
"Mark Lewis",NULL
"Taichi Ishidate",NULL
"Christopher Amos",NULL
"Conrad Helten",NULL
"Juan Antonio de la Riva",NULL
"Robert Smigel",NULL
"Ashish Ray",NULL
"Ben C. Lucas",NULL
"Glendyn Ivin",NULL
"Sara Colangelo",NULL
"J.C. Khoury",NULL
"Hunter Adams",NULL
"Gary Harvey",NULL
"Svetlana Cvetko",NULL
"Pablo Aragüés",NULL
"Michael Kristoff",NULL
"Kalvin Lee",NULL
"Izu Ojukwu",NULL
"Johane Matte",NULL
"Richard Speight Jr.",NULL
"Dean Craig",NULL
"Antony De Gennaro",NULL
"Zhang Chong",NULL
"Lorena Muñoz",NULL
"Kaila York",NULL
"Baran bo Odar",NULL
"Joshua Zimmerman",NULL
"Andi Behring",NULL
"Hikari",NULL
"Cornel Gheorghita",NULL
"Mateo Willis",NULL
"Jonathan Elbers",NULL
"Alessio Maria Federici",NULL
"Soumendra Padhi",NULL
"Edwin L. Marshall",NULL
"Per-Olav Sørensen",NULL
"Lisa Bryant",NULL
"Haifaa Al-Mansour",NULL
"Doug Campbell",NULL
"Melanie Mayron",NULL
"Phil Allora",NULL
"Joaquim Dos Santos",NULL
"Bobby Roth",NULL
"Catherine Reitman",NULL
"Kjell Sundvall",NULL
"Kevin Derek",NULL
"James Spione",NULL
"Blair Simmons",NULL
"Matt Danner",NULL
"Michael Fimognari",NULL
"Jet Wilkinson",NULL
"Ellen Kuras",NULL
"Halle Berry",NULL
"Robert Vince",NULL
"Aleksey Tsitsilin",NULL
"Michael Tolajian",NULL
"Farhad Safinia",NULL
"Clay Jeter",NULL
"Bartosz M. Kowalski",NULL
"Mike Flanagan",NULL
"Kaspar Munk",NULL
"Ken'ichi Takeshita",NULL
"Liz Garbus",NULL
"Anthony Stacchi",NULL
"Alberto Ruiz Rojo",NULL
"Shirish Kunder",NULL
"Jesús Colmenar",NULL
"Neasa Hardiman",NULL
"Ryan Suffern",NULL
"Matthew Killip",NULL
"Cristi Iftime",NULL
"Cecilia Aranovich",NULL
"Alessio Cremonini",NULL
"Tara Nicole Weyr",NULL
"Peter DeLuise",NULL
"Griffin Dunne",NULL
"Aaron Burns",NULL
"WooSuk Yang",NULL
"Maggie Carey",NULL
"Anca Miruna Lazarescu",NULL
"P.T. Kunju Muhammad",NULL
"Antonio Tublen",NULL
"Olivia Newman",NULL
"Stuart Sender",NULL
"Peter Howitt",NULL
"Ludovico Di Martino",NULL
"Esteban Ramírez",NULL
"Anubhav Sinha",NULL
"Nahnatchka Khan",NULL
"Carol Banker",NULL
"Priyadarshan",NULL
"G.J. Echternkamp",NULL
"Indi Wijay",NULL
"Farzad Sangari",NULL
"Victor Postiglione",NULL
"Juan José Campanella",NULL
"Israel Adrián Caetano",NULL
"Julien Seri",NULL
"Robert Heath",NULL
"Enah Johnscott",NULL
"Michael Bonfiglio",NULL
"Jesper Ganslandt",NULL
"Aneesh Anwar",NULL
"Kristen Bell",NULL
"Gwyneth Horder-Payton",NULL
"Peter Mackenzie",NULL
"Cecilia Verheyden",NULL
"Duane Adler",NULL
"Hiroyuki Morita",NULL
"Seong-soo Kim",NULL
"Sam Cullman",NULL
"Ryan Miningham",NULL
"Geir Henning Hopland",NULL
"Chiaki Kon",NULL
"Bruno Ascenzo",NULL
"Nicolai Rohde",NULL
"Peter Fison",NULL
"Andy Tennant",NULL
"Paris Dylan",NULL
"Oriol Paulo",NULL
"Judy Irving",NULL
"Yilmaz Erdogan",NULL
"Gustavo Ron",NULL
"Romeo Tirone",NULL
"Paul McGuigan",NULL
"Madhur Bhandarkar",NULL
"Michael Schur",NULL
"Nora Fingscheidt",NULL
"Alain Desrochers",NULL
"Jesper Andersson",NULL
"Ingrid Kvale",NULL
"Ruud Schuurman",NULL
"Marcus Dunstan",NULL
"Lauren MacMullan",NULL
"Ian Edelman",NULL
"Ali Taner Baltaci",NULL
"Royale Watkins",NULL
"Claudia Llosa",NULL
"Keith Gordon",NULL
"Tess Sweet",NULL
"Aditya Kripalani",NULL
"Weyler Hildebrand",NULL
"Sean Song",NULL
"Niels Nielsen",NULL
"Jim Goldblum",NULL
"David Bruckner",NULL
"Roy Campanella II",NULL
"Colin Bucksey",NULL
"Soham Shah",NULL
"Leah Sturgis",NULL
"Chris Modoono",NULL
"John Whitesell",NULL
"Fernando Frias",NULL
"Jun-hee Han",NULL
"Don Haderlein",NULL
"Leena Yadav",NULL
"Daniel Guzmán",NULL
"Pieter Kuijpers",NULL
"Roberto Fiesco",NULL
"Pamela Romanowsky",NULL
"Natasha Lyonne",NULL
"Colin Minihan",NULL
"Mauricio Brunetti",NULL
"Alankrita Shrivastava",NULL
"Michael J. Gallagher",NULL
"Nic Mathieu",NULL
"Gary Andrews",NULL
"Álvaro Fernández Armero",NULL
"Van M. Pham",NULL
"Michael Sparaga",NULL
"Brenton Spencer",NULL
"Anand Tiwari",NULL
"Orlando von Einsiedel",NULL
"Samuel Bodin",NULL
"Claire Scanlon",NULL
"Michael A. Allowitz",NULL
"Birgitte Stærmose",NULL
"José Manuel Cravioto",NULL
"Jong-woo Park",NULL
"Ramon Térmens",NULL
"Cheh Chang",NULL
"Steven M. Smith",NULL
"Pritan Ambroase",NULL
"Nick Broomfield",NULL
"Tope Oshin",NULL
"Debbie Allen",NULL
"Serge Rodnunsky",NULL
"Sameh Abdulaziz",NULL
"Justin Steele",NULL
"Timothy Woodward Jr.",NULL
"Joe Lynch",NULL
"Casey Lowe",NULL
"Juan Camilo Pinzon",NULL
"Deeyah Khan",NULL
"Halitha Shameem",NULL
"Bobcat Goldthwait",NULL
"Tommy O'Haver",NULL
"Nicole Conn",NULL
"Hiroyasu Aoki",NULL
"Donovan Marsh",NULL
"Benny Fredman",NULL
"Jorge M. Fontana",NULL
"Jonathan Hensleigh",NULL
"Rolfe Kanefsky",NULL
"Tae You Chang",NULL
"RC Delos Reyes",NULL
"Kristin Lehman",NULL
"Dave Filoni",NULL
"Ticoy Rodriguez",NULL
"Jack Webb",NULL
"Christopher Leone",NULL
"Chris Eigeman",NULL
"Lila Neugebauer",NULL
"Paco Plaza",NULL
"Mark Sheppard",NULL
"Jin-sung Choi",NULL
"Thomas Acda",NULL
"Jesse Warn",NULL
"Brian Oakes",NULL
"Blake Edwards",NULL
"Dan Fausett",NULL
"Joanna Kerns",NULL
"Edgar Arellano",NULL
"Otilia Portillo Padua",NULL
"Jonathan Demme",NULL
"Naseef Yusuf Izuddin",NULL
"Lucius C. Kuert",NULL
"Jeff Bleckner",NULL
"Chen-Hao Yin",NULL
"Marc Fouchard",NULL
"Gil Kenan",NULL
"Steve Yamamoto",NULL
"Charles Martin Smith",NULL
"Juana Macías",NULL
"Massimiliano Camaiti",NULL
